               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.104,            0.079367,             0.05853,             0.19891,             0.10043,             0.03077,           0.0075492,            0.076478,            0.047771,            0.048939,              0.0015,              0.0015,              0.0865
                   1,            0.072708,            0.077781,            0.047745,             0.92738,             0.14116,              0.2582,            0.079092,            0.056867,            0.057603,            0.040283,           0.0030693,           0.0030693,            0.072069
                   2,            0.062365,            0.067674,             0.03971,              0.5446,             0.42284,             0.39854,             0.16629,            0.055102,            0.040934,            0.032289,           0.0046069,           0.0046069,            0.057607
                   3,            0.075889,            0.058696,             0.03267,             0.57812,             0.47318,             0.46896,             0.16942,             0.07162,            0.032405,            0.022194,           0.0061129,           0.0061129,            0.043113
                   4,            0.073721,            0.057462,            0.026354,               0.317,              0.7016,             0.46086,             0.17473,            0.061925,            0.027317,            0.016537,           0.0075872,           0.0075872,            0.028587
                   5,            0.067392,            0.058507,            0.020706,             0.38063,             0.71305,             0.62315,             0.23871,            0.053578,            0.028123,            0.013147,           0.0090297,           0.0090297,             0.01403
                   6,            0.059123,            0.057984,            0.017238,             0.50959,              0.6566,             0.58708,             0.19967,            0.054488,            0.029749,            0.010264,            0.009406,            0.009406,            0.009406
                   7,            0.058188,             0.05644,            0.014388,             0.42833,             0.81375,             0.68973,             0.35112,             0.04839,            0.028278,           0.0077309,            0.009406,            0.009406,            0.009406
                   8,            0.048444,            0.055043,            0.012773,              0.5909,             0.78134,             0.73145,             0.37786,             0.03873,            0.027237,           0.0071448,            0.009307,            0.009307,            0.009307
                   9,             0.04465,            0.057398,            0.011674,             0.70932,             0.79606,             0.81936,             0.47209,            0.036621,            0.024975,           0.0062331,            0.009208,            0.009208,            0.009208
                  10,            0.042874,            0.054141,           0.0099424,             0.86606,             0.81456,             0.87504,             0.50896,            0.034568,            0.024563,           0.0051071,            0.009109,            0.009109,            0.009109
                  11,            0.042216,            0.052764,           0.0094178,             0.89675,             0.81486,             0.87984,             0.48587,            0.035107,            0.024581,           0.0051799,             0.00901,             0.00901,             0.00901
                  12,             0.04132,            0.054172,           0.0085573,             0.82628,             0.82475,             0.86251,             0.54462,            0.030922,            0.024852,           0.0054837,            0.008911,            0.008911,            0.008911
